Nationality,Single Age Group,Five-Year Age Group,Governorate,Region,Gender,Population
Non-Saudi,0,0-4,,,Female,13
Saudi,0,0-4,,,Female,177
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,383
Non-Saudi,0,0-4,,,Female,14
Saudi,0,0-4,,,Female,602
Non-Saudi,0,0-4,,,Female,25
Saudi,0,0-4,,,Female,5809
Non-Saudi,0,0-4,,,Female,245
Saudi,0,0-4,,,Female,434
Non-Saudi,0,0-4,,,Female,19
Saudi,0,0-4,,,Female,228
Non-Saudi,0,0-4,,,Female,14
Saudi,0,0-4,,,Female,362
Non-Saudi,0,0-4,,,Female,28
Saudi,0,0-4,,,Female,1488
Non-Saudi,0,0-4,,,Female,126
Saudi,0,0-4,,,Female,1081
Non-Saudi,0,0-4,,,Female,89
Saudi,0,0-4,,,Female,87
Non-Saudi,0,0-4,,,Female,11
Saudi,0,0-4,,,Female,378
Non-Saudi,0,0-4,,,Female,8
Saudi,0,0-4,,,Female,543
Non-Saudi,0,0-4,,,Female,22
Saudi,0,0-4,,,Female,207
Saudi,0,0-4,,,Female,379
Non-Saudi,0,0-4,,,Female,11
Saudi,0,0-4,,,Female,657
Non-Saudi,0,0-4,,,Female,45
Saudi,0,0-4,,,Female,231
Non-Saudi,0,0-4,,,Female,14
Saudi,0,0-4,,,Female,617
Non-Saudi,0,0-4,,,Female,68
Saudi,0,0-4,,,Female,1360
Non-Saudi,0,0-4,,,Female,226
Saudi,0,0-4,,,Female,1105
Non-Saudi,0,0-4,,,Female,157
Saudi,0,0-4,,,Female,1487
Non-Saudi,0,0-4,,,Female,218
Saudi,0,0-4,,,Female,421
Non-Saudi,0,0-4,,,Female,63
Saudi,0,0-4,,,Female,84
Non-Saudi,0,0-4,,,Female,6
Saudi,0,0-4,,,Female,127
Non-Saudi,0,0-4,,,Female,6
Saudi,0,0-4,,,Female,243
Non-Saudi,0,0-4,,,Female,26
Saudi,0,0-4,,,Female,928
Non-Saudi,0,0-4,,,Female,8
Saudi,0,0-4,,,Female,147
Saudi,0,0-4,,,Female,187
Non-Saudi,0,0-4,,,Female,2
Saudi,0,0-4,,,Female,244
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,128
Non-Saudi,0,0-4,,,Female,3
Saudi,0,0-4,,,Female,455
Non-Saudi,0,0-4,,,Female,17
Saudi,0,0-4,,,Female,3649
Non-Saudi,0,0-4,,,Female,220
Saudi,0,0-4,,,Female,201
Non-Saudi,0,0-4,,,Female,4
Saudi,0,0-4,,,Female,154
Non-Saudi,0,0-4,,,Female,1
Saudi,0,0-4,,,Female,2957
Non-Saudi,0,0-4,,,Female,215
Saudi,0,0-4,,,Female,1008
Non-Saudi,0,0-4,,,Female,24
Saudi,0,0-4,,,Female,128
Non-Saudi,0,0-4,,,Female,1
Saudi,0,0-4,,,Female,222
Non-Saudi,0,0-4,,,Female,1
Saudi,0,0-4,,,Female,192
Non-Saudi,0,0-4,,,Female,4
Saudi,0,0-4,,,Female,335
Non-Saudi,0,0-4,,,Female,13
Saudi,0,0-4,,,Female,158
Non-Saudi,0,0-4,,,Female,12
Saudi,0,0-4,,,Female,322
Saudi,0,0-4,,,Female,441
Non-Saudi,0,0-4,,,Female,18
Saudi,0,0-4,,,Female,1698
Non-Saudi,0,0-4,,,Female,62
Saudi,0,0-4,,,Female,359
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,80
Non-Saudi,0,0-4,,,Female,12
Saudi,0,0-4,,,Female,4328
Non-Saudi,0,0-4,,,Female,378
Saudi,0,0-4,,,Female,368
Non-Saudi,0,0-4,,,Female,2
Saudi,0,0-4,,,Female,557
Non-Saudi,0,0-4,,,Female,8
Saudi,0,0-4,,,Female,227
Non-Saudi,0,0-4,,,Female,3
Saudi,0,0-4,,,Female,326
Non-Saudi,0,0-4,,,Female,4
Saudi,0,0-4,,,Female,1889
Non-Saudi,0,0-4,,,Female,49
Saudi,0,0-4,,,Female,263
Non-Saudi,0,0-4,,,Female,10
Saudi,0,0-4,,,Female,713
Non-Saudi,0,0-4,,,Female,26
Saudi,0,0-4,,,Female,370
Non-Saudi,0,0-4,,,Female,8
Saudi,0,0-4,,,Female,6862
Non-Saudi,0,0-4,,,Female,530
Saudi,0,0-4,,,Female,552
Non-Saudi,0,0-4,,,Female,16
Saudi,0,0-4,,,Female,1631
Non-Saudi,0,0-4,,,Female,66
Saudi,0,0-4,,,Female,96
Non-Saudi,0,0-4,,,Female,2
Saudi,0,0-4,,,Female,603
Non-Saudi,0,0-4,,,Female,12
Saudi,0,0-4,,,Female,259
Non-Saudi,0,0-4,,,Female,4
Saudi,0,0-4,,,Female,672
Non-Saudi,0,0-4,,,Female,35
Saudi,0,0-4,,,Female,360
Non-Saudi,0,0-4,,,Female,14
Saudi,0,0-4,,,Female,17080
Non-Saudi,0,0-4,,,Female,6094
Saudi,0,0-4,,,Female,396
Non-Saudi,0,0-4,,,Female,21
Saudi,0,0-4,,,Female,777
Non-Saudi,0,0-4,,,Female,72
Saudi,0,0-4,,,Female,481
Non-Saudi,0,0-4,,,Female,10
Saudi,0,0-4,,,Female,11893
Non-Saudi,0,0-4,,,Female,2564
Saudi,0,0-4,,,Female,191
Non-Saudi,0,0-4,,,Female,8
Saudi,0,0-4,,,Female,110
Non-Saudi,0,0-4,,,Female,3
Saudi,0,0-4,,,Female,153
Non-Saudi,0,0-4,,,Female,5
Saudi,0,0-4,,,Female,239
Non-Saudi,0,0-4,,,Female,9
Saudi,0,0-4,,,Female,111
Non-Saudi,0,0-4,,,Female,2
Saudi,0,0-4,,,Female,1001
Non-Saudi,0,0-4,,,Female,100
Saudi,0,0-4,,,Female,3864
Non-Saudi,0,0-4,,,Female,407
Saudi,0,0-4,,,Female,204
Non-Saudi,0,0-4,,,Female,3
Saudi,0,0-4,Al Bahah (Emirate HQ),Al Bahah,Male,525
Non-Saudi,0,0-4,Al Bahah (Emirate HQ),Al Bahah,Male,77
Saudi,0,0-4,Al Hujrah,Al Bahah,Male,90
Non-Saudi,0,0-4,Al Hujrah,Al Bahah,Male,3
Saudi,0,0-4,Al Aqiq,Al Bahah,Male,348
Non-Saudi,0,0-4,Al Aqiq,Al Bahah,Male,16
Saudi,0,0-4,,Al Bahah,Male,169
Saudi,0,0-4,,Al Bahah,Male,404
Non-Saudi,0,0-4,,Al Bahah,Male,19
Saudi,0,0-4,,Al Bahah,Male,108
Non-Saudi,0,0-4,,Al Bahah,Male,15
Saudi,0,0-4,,Al Bahah,Male,276
Non-Saudi,0,0-4,,Al Bahah,Male,35
Saudi,0,0-4,,Al Bahah,Male,124
Non-Saudi,0,0-4,,Al Bahah,Male,1
Saudi,0,0-4,,Al Bahah,Male,127
Non-Saudi,0,0-4,,Al Bahah,Male,1
Saudi,0,0-4,,Al Bahah,Male,275
Non-Saudi,0,0-4,,Al Bahah,Male,4
Saudi,0,0-4,,,Male,2489
Non-Saudi,0,0-4,,,Male,52
Saudi,0,0-4,,,Male,564
Non-Saudi,0,0-4,,,Male,18
Saudi,0,0-4,,,Male,2138
Non-Saudi,0,0-4,,,Male,141
Saudi,0,0-4,,,Male,1902
Non-Saudi,0,0-4,,,Male,32
Saudi,0,0-4,,,Male,262
Non-Saudi,0,0-4,,,Male,13
Saudi,0,0-4,,,Male,902
Non-Saudi,0,0-4,,,Male,45
Saudi,0,0-4,,,Male,739
Non-Saudi,0,0-4,,,Male,51
Saudi,0,0-4,,,Male,2261
Non-Saudi,0,0-4,,,Male,176
Saudi,0,0-4,,,Male,519
Non-Saudi,0,0-4,,,Male,22
Saudi,0,0-4,,,Male,126
Non-Saudi,0,0-4,,,Male,1
Saudi,0,0-4,,,Male,3061
Non-Saudi,0,0-4,,,Male,284
Saudi,0,0-4,,,Male,620
Non-Saudi,0,0-4,,,Male,131
Saudi,0,0-4,,,Male,360
Non-Saudi,0,0-4,,,Male,23
Saudi,0,0-4,,,Male,1597
Non-Saudi,0,0-4,,,Male,76
Saudi,0,0-4,,,Male,38243
Non-Saudi,0,0-4,,,Male,10836
Saudi,0,0-4,,,Male,255
Non-Saudi,0,0-4,,,Male,6
Saudi,0,0-4,,,Male,584
Non-Saudi,0,0-4,,,Male,36
Saudi,0,0-4,,,Male,310
Non-Saudi,0,0-4,,,Male,9
Saudi,0,0-4,,,Male,63
Non-Saudi,0,0-4,,,Male,6
Saudi,0,0-4,,,Male,570
Non-Saudi,0,0-4,,,Male,29
Saudi,0,0-4,,,Male,1048
Non-Saudi,0,0-4,,,Male,70
Saudi,0,0-4,,,Male,552
Non-Saudi,0,0-4,,,Male,34
Saudi,0,0-4,,,Male,78
Non-Saudi,0,0-4,,,Male,6
Saudi,0,0-4,,,Male,154
Non-Saudi,0,0-4,,,Male,12
Saudi,0,0-4,,,Male,358
Non-Saudi,0,0-4,,,Male,14
Saudi,0,0-4,,,Male,258
Non-Saudi,0,0-4,,,Male,6
Saudi,0,0-4,,,Male,277
Non-Saudi,0,0-4,,,Male,28
Saudi,0,0-4,,,Male,150
Non-Saudi,0,0-4,,,Male,8
Saudi,0,0-4,,,Male,615
Non-Saudi,0,0-4,,,Male,24
Saudi,0,0-4,,,Male,64
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,817
Non-Saudi,0,0-4,,,Male,31
Saudi,0,0-4,,,Male,309
Non-Saudi,0,0-4,,,Male,7
Saudi,0,0-4,,,Male,443
Non-Saudi,0,0-4,,,Male,15
Saudi,0,0-4,,,Male,487
Non-Saudi,0,0-4,,,Male,29
Saudi,0,0-4,,,Male,882
Non-Saudi,0,0-4,,,Male,49
Saudi,0,0-4,,,Male,66
Saudi,0,0-4,,,Male,330
Non-Saudi,0,0-4,,,Male,18
Saudi,0,0-4,,,Male,637
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,4963
Non-Saudi,0,0-4,,,Male,399
Saudi,0,0-4,,,Male,287
Non-Saudi,0,0-4,,,Male,9
Saudi,0,0-4,,,Male,194
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,220
Non-Saudi,0,0-4,,,Male,4
Saudi,0,0-4,,,Male,1232
Non-Saudi,0,0-4,,,Male,89
Saudi,0,0-4,,,Male,211
Non-Saudi,0,0-4,,,Male,15
Saudi,0,0-4,,,Male,419
Non-Saudi,0,0-4,,,Male,7
Saudi,0,0-4,,,Male,587
Non-Saudi,0,0-4,,,Male,20
Saudi,0,0-4,,,Male,204
Non-Saudi,0,0-4,,,Male,1
Saudi,0,0-4,,,Male,10701
Non-Saudi,0,0-4,,,Male,1586
Saudi,0,0-4,,,Male,490
Non-Saudi,0,0-4,,,Male,10
Saudi,0,0-4,,,Male,538
Non-Saudi,0,0-4,,,Male,13
Saudi,0,0-4,,,Male,537
Non-Saudi,0,0-4,,,Male,12
Saudi,0,0-4,,,Male,281
Non-Saudi,0,0-4,,,Male,5
Saudi,0,0-4,,,Male,3020
Non-Saudi,0,0-4,,,Male,267
Saudi,0,0-4,,,Male,10151
Non-Saudi,0,0-4,,,Male,414
Saudi,0,0-4,,,Male,2826
Non-Saudi,0,0-4,,,Male,476
Saudi,0,0-4,,,Male,2162
Non-Saudi,0,0-4,,,Male,1216
Saudi,0,0-4,,,Male,671
Non-Saudi,0,0-4,,,Male,56
Saudi,0,0-4,,,Male,9391
Non-Saudi,0,0-4,,,Male,1758
Saudi,0,0-4,,,Male,73
Non-Saudi,0,0-4,,,Male,5
Saudi,0,0-4,,,Male,4616
Non-Saudi,0,0-4,,,Male,89
Saudi,0,0-4,,,Male,562
Non-Saudi,0,0-4,,,Male,25
Saudi,0,0-4,,,Male,440
Non-Saudi,0,0-4,,,Male,23
Saudi,0,0-4,,,Male,4756
Non-Saudi,0,0-4,,,Male,393
Saudi,0,0-4,,,Male,306
Non-Saudi,0,0-4,,,Male,49
Saudi,0,0-4,,,Male,141
Non-Saudi,0,0-4,,,Male,13
Saudi,0,0-4,,,Male,169
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,430
Non-Saudi,0,0-4,,,Male,15
Saudi,0,0-4,,,Male,660
Non-Saudi,0,0-4,,,Male,21
Saudi,0,0-4,,,Male,5989
Non-Saudi,0,0-4,,,Male,295
Saudi,0,0-4,,,Male,418
Non-Saudi,0,0-4,,,Male,20
Saudi,0,0-4,,,Male,238
Non-Saudi,0,0-4,,,Male,13
Saudi,0,0-4,,,Male,402
Non-Saudi,0,0-4,,,Male,18
Saudi,0,0-4,,,Male,1592
Non-Saudi,0,0-4,,,Male,121
Saudi,0,0-4,,,Male,1065
Non-Saudi,0,0-4,,,Male,85
Saudi,0,0-4,,,Male,107
Non-Saudi,0,0-4,,,Male,14
Saudi,0,0-4,,,Male,461
Non-Saudi,0,0-4,,,Male,9
Saudi,0,0-4,,,Male,602
Non-Saudi,0,0-4,,,Male,34
Saudi,0,0-4,,,Male,214
Non-Saudi,0,0-4,,,Male,1
Saudi,0,0-4,,,Male,397
Non-Saudi,0,0-4,,,Male,16
Saudi,0,0-4,,,Male,667
Non-Saudi,0,0-4,,,Male,44
Saudi,0,0-4,,,Male,248
Non-Saudi,0,0-4,,,Male,22
Saudi,0,0-4,,,Male,619
Non-Saudi,0,0-4,,,Male,91
Saudi,0,0-4,,,Male,1547
Non-Saudi,0,0-4,,,Male,206
Saudi,0,0-4,,,Male,1162
Non-Saudi,0,0-4,,,Male,182
Saudi,0,0-4,,,Male,1497
Non-Saudi,0,0-4,,,Male,214
Saudi,0,0-4,,,Male,451
Non-Saudi,0,0-4,,,Male,77
Saudi,0,0-4,,,Male,116
Non-Saudi,0,0-4,,,Male,5
Saudi,0,0-4,,,Male,137
Non-Saudi,0,0-4,,,Male,11
Saudi,0,0-4,,,Male,262
Non-Saudi,0,0-4,,,Male,14
Saudi,0,0-4,,,Male,859
Non-Saudi,0,0-4,,,Male,11
Saudi,0,0-4,,,Male,206
Non-Saudi,0,0-4,,,Male,1
Saudi,0,0-4,,,Male,198
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,271
Non-Saudi,0,0-4,,,Male,6
Saudi,0,0-4,,,Male,107
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,483
Non-Saudi,0,0-4,,,Male,22
Saudi,0,0-4,,,Male,3662
Non-Saudi,0,0-4,,,Male,254
Saudi,0,0-4,,,Male,182
Non-Saudi,0,0-4,,,Male,2
Saudi,0,0-4,,,Male,186
Non-Saudi,0,0-4,,,Male,1
Saudi,0,0-4,,,Male,2955
Non-Saudi,0,0-4,,,Male,195
Saudi,0,0-4,,,Male,1049
Non-Saudi,0,0-4,,,Male,33
Saudi,0,0-4,,,Male,160
Saudi,0,0-4,,,Male,252
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,176
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,348
Non-Saudi,0,0-4,,,Male,16
Saudi,0,0-4,,,Male,152
Non-Saudi,0,0-4,,,Male,14
Saudi,0,0-4,,,Male,359
Non-Saudi,0,0-4,,,Male,1
Saudi,0,0-4,,,Male,511
Non-Saudi,0,0-4,,,Male,16
Saudi,0,0-4,,,Male,1726
Non-Saudi,0,0-4,,,Male,74
Saudi,0,0-4,,,Male,354
Non-Saudi,0,0-4,,,Male,9
Saudi,0,0-4,,,Male,102
Non-Saudi,0,0-4,,,Male,7
Saudi,0,0-4,,,Male,4621
Non-Saudi,0,0-4,,,Male,413
Saudi,0,0-4,,,Male,398
Non-Saudi,0,0-4,,,Male,5
Saudi,0,0-4,,,Male,606
Non-Saudi,0,0-4,,,Male,9
Saudi,0,0-4,,,Male,230
Saudi,0,0-4,,,Male,331
Non-Saudi,0,0-4,,,Male,11
Saudi,0,0-4,,,Male,2088
Non-Saudi,0,0-4,,,Male,49
Saudi,0,0-4,,,Male,310
Non-Saudi,0,0-4,,,Male,12
Saudi,0,0-4,,,Male,733
Non-Saudi,0,0-4,,,Male,28
Saudi,0,0-4,,,Male,353
Non-Saudi,0,0-4,,,Male,9
Saudi,0,0-4,,,Male,7131
Non-Saudi,0,0-4,,,Male,563
Saudi,0,0-4,,,Male,549
Non-Saudi,0,0-4,,,Male,24
Saudi,0,0-4,,,Male,1717
Non-Saudi,0,0-4,,,Male,77
Saudi,0,0-4,,,Male,87
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,622
Non-Saudi,0,0-4,,,Male,18
Saudi,0,0-4,,,Male,298
Non-Saudi,0,0-4,,,Male,5
Saudi,0,0-4,,,Male,726
Non-Saudi,0,0-4,,,Male,40
Saudi,0,0-4,,,Male,392
Non-Saudi,0,0-4,,,Male,8
Saudi,0,0-4,,,Male,17580
Non-Saudi,0,0-4,,,Male,6327
Saudi,0,0-4,,,Male,404
Non-Saudi,0,0-4,,,Male,19
Saudi,0,0-4,,,Male,792
Non-Saudi,0,0-4,,,Male,81
Saudi,0,0-4,,,Male,460
Non-Saudi,0,0-4,,,Male,10
Saudi,0,0-4,,,Male,12246
Non-Saudi,0,0-4,,,Male,2712
Saudi,0,0-4,,,Male,220
Non-Saudi,0,0-4,,,Male,7
Saudi,0,0-4,,,Male,96
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,154
Non-Saudi,0,0-4,,,Male,3
Saudi,0,0-4,,,Male,248
Non-Saudi,0,0-4,,,Male,5
Saudi,0,0-4,,,Male,109
Non-Saudi,0,0-4,,,Male,1
Saudi,0,0-4,,,Male,1060
Non-Saudi,0,0-4,,,Male,89
Saudi,0,0-4,,,Male,4055
Non-Saudi,0,0-4,,,Male,449
Saudi,0,0-4,,,Male,215
Non-Saudi,0,0-4,,,Male,1
Saudi,1,0-4,Al Bahah (Emirate HQ),Al Bahah,Female,532
Non-Saudi,1,0-4,Al Bahah (Emirate HQ),Al Bahah,Female,71
Saudi,1,0-4,Al Hujrah,Al Bahah,Female,111
Non-Saudi,1,0-4,Al Hujrah,Al Bahah,Female,3
Saudi,1,0-4,Al Aqiq,Al Bahah,Female,318
Non-Saudi,1,0-4,Al Aqiq,Al Bahah,Female,8
Saudi,1,0-4,,Al Bahah,Female,161
Non-Saudi,1,0-4,,Al Bahah,Female,4
Saudi,1,0-4,,Al Bahah,Female,365
Non-Saudi,1,0-4,,Al Bahah,Female,21
Saudi,1,0-4,,Al Bahah,Female,120
Non-Saudi,1,0-4,,Al Bahah,Female,13
Saudi,1,0-4,,Al Bahah,Female,312
Non-Saudi,1,0-4,,Al Bahah,Female,36
Saudi,1,0-4,,Al Bahah,Female,119
Non-Saudi,1,0-4,,Al Bahah,Female,2
Saudi,1,0-4,,Al Bahah,Female,107
Saudi,1,0-4,,Al Bahah,Female,235
Non-Saudi,1,0-4,,Al Bahah,Female,6
Saudi,1,0-4,,,Female,2363
Non-Saudi,1,0-4,,,Female,67
Saudi,1,0-4,,,Female,538
Non-Saudi,1,0-4,,,Female,14
Saudi,1,0-4,,,Female,1976
Non-Saudi,1,0-4,,,Female,153
Saudi,1,0-4,,,Female,1767
Non-Saudi,1,0-4,,,Female,33
Saudi,1,0-4,,,Female,219
Non-Saudi,1,0-4,,,Female,13
Saudi,1,0-4,,,Female,800
Non-Saudi,1,0-4,,,Female,42
Saudi,1,0-4,,,Female,678
Non-Saudi,1,0-4,,,Female,49
Saudi,1,0-4,,,Female,1916
Non-Saudi,1,0-4,,,Female,162
Saudi,1,0-4,,,Female,453
Non-Saudi,1,0-4,,,Female,10
Saudi,1,0-4,,,Female,115
Non-Saudi,1,0-4,,,Female,5
Saudi,1,0-4,,,Female,2560
Non-Saudi,1,0-4,,,Female,262
Saudi,1,0-4,,,Female,558
Non-Saudi,1,0-4,,,Female,146
Saudi,1,0-4,,,Female,338
Non-Saudi,1,0-4,,,Female,25
Saudi,1,0-4,,,Female,1514
Non-Saudi,1,0-4,,,Female,76
Saudi,1,0-4,,,Female,34246
Non-Saudi,1,0-4,,,Female,11227
Saudi,1,0-4,,,Female,281
Non-Saudi,1,0-4,,,Female,5
Saudi,1,0-4,,,Female,532
Non-Saudi,1,0-4,,,Female,37
Saudi,1,0-4,,,Female,275
Non-Saudi,1,0-4,,,Female,13
Saudi,1,0-4,,,Female,59
Non-Saudi,1,0-4,,,Female,5
Saudi,1,0-4,,,Female,583
Non-Saudi,1,0-4,,,Female,19
Saudi,1,0-4,,,Female,1031
Non-Saudi,1,0-4,,,Female,86
Saudi,1,0-4,,,Female,440
Non-Saudi,1,0-4,,,Female,33
Saudi,1,0-4,,,Female,70
Non-Saudi,1,0-4,,,Female,5
Saudi,1,0-4,,,Female,137
Non-Saudi,1,0-4,,,Female,8
Saudi,1,0-4,,,Female,332
Non-Saudi,1,0-4,,,Female,8
Saudi,1,0-4,,,Female,251
Non-Saudi,1,0-4,,,Female,11
Saudi,1,0-4,,,Female,253
Non-Saudi,1,0-4,,,Female,18
Saudi,1,0-4,,,Female,180
Non-Saudi,1,0-4,,,Female,6
Saudi,1,0-4,,,Female,579
Non-Saudi,1,0-4,,,Female,12
Saudi,1,0-4,,,Female,71
Non-Saudi,1,0-4,,,Female,6
Saudi,1,0-4,,,Female,804
Non-Saudi,1,0-4,,,Female,33
Saudi,1,0-4,,,Female,301
Non-Saudi,1,0-4,,,Female,5
Saudi,1,0-4,,,Female,412
Non-Saudi,1,0-4,,,Female,23
Saudi,1,0-4,,,Female,484
Non-Saudi,1,0-4,,,Female,20
Saudi,1,0-4,,,Female,791
Non-Saudi,1,0-4,,,Female,53
Saudi,1,0-4,,,Female,62
Non-Saudi,1,0-4,,,Female,1
Saudi,1,0-4,,,Female,284
Non-Saudi,1,0-4,,,Female,21
